日期,收盘,开盘,高,低,交易量,涨跌幅
2002年2月10日,110.89,110.05,112.97,109.82,88.38M,0.73%
2002年2月17日,109.64,110.15,110.63,107.82,98.11M,-1.13%
2002年2月24日,113.74,109.75,113.85,109.7,118.36M,3.74%
2002年3月3日,116.99,113.9,117.91,113.65,109.35M,2.86%
2002年3月10日,116.65,116.89,117.9,115.63,82.35M,-0.29%
2002年3月17日,115.04,117.1,117.74,114.12,94.72M,-1.38%
2002年3月24日,114.52,115.09,115.77,113.3,74.02M,-0.45%
2002年3月31日,112.69,114.23,115.1,112.16,101.94M,-1.60%
2002年4月7日,111.42,111.32,113.54,110.5,89.21M,-1.13%
2002年4月14日,112.88,111.62,113.67,110.2,81.25M,1.31%
2002年4月21日,107.39,112.38,112.43,107.29,95.03M,-4.86%
2002年4月28日,107.58,107.93,109.91,106.63,95.64M,0.18%
2002年5月5日,105.72,107.65,109.36,104.9,111.05M,-1.73%
2002年5月12日,110.9,106.22,111.25,105.8,134.37M,4.90%
2002年5月19日,108.69,110.64,110.69,108,72.32M,-1.99%
2002年5月26日,107.22,109.05,109.13,105.9,77.06M,-1.35%
2002年6月2日,103.34,107.09,107.6,101.72,119.05M,-3.62%
2002年6月9日,101.4,103.24,104.54,98.5,130.35M,-1.88%
2002年6月16日,99.28,101.92,105.03,98.69,118.01M,-2.09%
2002年6月23日,98.96,98.61,100.89,95.19,168.44M,-0.32%
2002年6月30日,99.31,99.19,99.8,93.73,104.09M,0.35%
2002年7月7日,91.85,98.98,99.7,90.32,196.86M,-7.51%
2002年7月14日,84.71,91.64,93.3,84.3,290.07M,-7.77%
2002年7月21日,85.6,84.11,85.93,77.68,388.20M,1.05%
2002年7月28日,86.79,87.51,91.55,85.62,264.20M,1.39%
2002年8月4日,91.29,86.5,91.94,83.55,246.44M,5.18%
2002年8月11日,93.22,90,94.08,88.02,215.11M,2.11%
2002年8月18日,94.6,93.46,97.15,93.1,175.95M,1.48%
2002年8月25日,91.78,94.91,96.25,90.81,192.19M,-2.98%
2002年9月1日,90,90.73,91,87.5,233.75M,-1.94%
2002年9月8日,89.67,89.1,93.33,88.25,188.03M,-0.37%
2002年9月15日,84.35,89.32,91.19,84.05,225.64M,-5.93%
2002年9月22日,82.75,83.65,85.97,81.85,294.26M,-1.90%
2002年9月29日,80.8,82,85.77,79.58,321.52M,-2.36%
2002年10月6日,84.16,80.06,84.73,77.07,371.76M,4.16%
2002年10月13日,88.64,83.2,89.3,83.04,302.87M,5.32%
2002年10月20日,90.2,88.12,90.9,87.57,241.34M,1.76%
2002年10月27日,90.27,91.15,91.29,87,234.20M,0.08%
2002年11月3日,89.65,91.8,93.07,89.52,241.22M,-0.69%
2002年11月10日,91.4,89.52,91.55,87.45,206.45M,1.95%
2002年11月17日,93.42,92.15,94.27,89.76,186.34M,2.21%
2002年11月24日,93.98,93.43,94.95,91.62,133.51M,0.60%
2002年12月1日,92.03,95.47,96.05,89.98,235.34M,-2.07%
2002年12月8日,89.34,91.07,91.62,89.27,180.91M,-2.92%
2002年12月15日,89.99,89.82,91.79,88.6,175.65M,0.73%
2002年12月22日,87.38,89.59,90.61,87.38,73.29M,-2.90%
2002年12月29日,91.35,87.8,91.39,87.11,140.88M,4.54%
2003年1月5日,93.06,91.24,93.64,91.05,191.04M,1.87%
2003年1月12日,90.66,93.54,93.86,90.15,177.15M,-2.58%
