日期,收盘,开盘,高,低,交易量,涨跌幅
2014年9月22日,199.15,200.35,200.38,198.73,125.55M,-0.77%
2014年9月23日,198.01,198.43,199.26,197.95,111.39M,-0.57%
2014年9月24日,199.56,198.04,199.69,197.52,107.28M,0.78%
2014年9月25日,196.34,199.04,199.05,196.27,150.30M,-1.61%
2014年9月26日,197.9,196.7,198.39,196.42,103.55M,0.79%
2014年9月29日,197.54,196.2,197.89,196.05,95.11M,-0.18%
2014年9月30日,197.02,197.69,198.3,196.61,131.30M,-0.26%
2014年10月1日,194.35,196.7,196.77,193.91,177.80M,-1.36%
2014年10月2日,194.38,194.18,195.06,192.35,157.29M,0.02%
2014年10月3日,196.52,195.68,196.94,195.08,121.57M,1.10%
2014年10月6日,196.29,197.34,197.6,195.58,104.78M,-0.12%
2014年10月7日,193.26,195.28,195.72,193.22,147.91M,-1.54%
2014年10月8日,196.64,193.37,196.92,192.36,186.46M,1.75%
2014年10月9日,192.74,196.33,196.6,192.58,210.70M,-1.98%
2014年10月10日,190.54,192.69,193.65,190.49,221.91M,-1.14%
2014年10月13日,187.41,190.46,191.15,187.3,230.94M,-1.64%
2014年10月14日,187.7,188.42,189.82,187.04,215.85M,0.15%
2014年10月15日,186.43,185.16,187.69,181.92,380.71M,-0.68%
2014年10月16日,186.27,183.06,187.58,182.89,270.39M,-0.09%
2014年10月17日,188.47,188.42,189.75,187.62,214.62M,1.18%
2014年10月20日,190.3,188.13,190.45,188.07,130.01M,0.97%
2014年10月21日,194.07,191.68,194.2,191.48,154.95M,1.98%
2014年10月22日,192.69,194.41,194.91,192.61,151.82M,-0.71%
2014年10月23日,194.93,194.62,196.2,194.26,154.94M,1.16%
2014年10月24日,196.43,195.25,196.49,194.49,117.93M,0.77%
2014年10月27日,196.16,195.73,196.45,195.03,82.95M,-0.14%
2014年10月28日,198.41,196.82,198.42,196.73,106.74M,1.15%
2014年10月29日,198.11,198.55,199.12,196.8,142.56M,-0.15%
2014年10月30日,199.38,197.58,199.95,197.4,113.33M,0.64%
2014年10月31日,201.66,201.78,201.82,200.77,146.90M,1.14%
2014年11月3日,201.77,201.92,202.45,201.31,93.73M,0.05%
2014年11月4日,201.07,201.23,201.6,200.06,93.34M,-0.35%
2014年11月5日,202.34,202.54,202.59,201.45,91.71M,0.63%
2014年11月6日,203.15,202.39,203.26,201.64,107.09M,0.40%
2014年11月7日,203.34,203.17,203.6,202.61,89.54M,0.09%
2014年11月10日,203.98,203.38,204.04,203.13,66.32M,0.31%
2014年11月11日,204.18,204.06,204.31,203.65,54.50M,0.10%
2014年11月12日,203.96,203.35,204.24,203.31,90.12M,-0.11%
2014年11月13日,204.19,204.16,204.83,203.21,85.36M,0.11%
2014年11月14日,204.24,204.1,204.49,203.72,80.42M,0.02%
2014年11月17日,204.37,203.85,204.58,203.65,80.44M,0.06%
2014年11月18日,205.55,204.44,205.92,204.44,76.07M,0.58%
2014年11月19日,205.22,205.31,205.55,204.3,82.37M,-0.16%
2014年11月20日,205.58,204.26,205.71,204.18,72.84M,0.18%
2014年11月21日,206.68,207.64,207.84,205.98,142.33M,0.54%
2014年11月24日,207.26,207.17,207.39,206.91,65.88M,0.28%
2014年11月25日,207.11,207.54,207.79,206.8,79.11M,-0.07%
2014年11月26日,207.64,207.29,207.76,207.03,62.17M,0.26%
2014年11月28日,207.2,207.49,207.87,206.91,57.89M,-0.21%
2014年12月1日,205.76,206.4,206.54,205.38,103.97M,-0.69%
2014年12月2日,207.09,205.81,207.34,205.78,74.51M,0.65%
2014年12月3日,207.89,207.3,208.15,207.1,68.95M,0.39%
2014年12月4日,207.66,207.54,208.26,206.7,91.32M,-0.11%
2014年12月5日,208,207.87,208.47,207.55,91.03M,0.16%
2014年12月8日,206.61,207.52,208.12,205.93,108.59M,-0.67%
2014年12月9日,206.47,204.37,206.6,203.91,125.18M,-0.07%
2014年12月10日,203.16,205.91,205.98,202.93,159.86M,-1.60%
2014年12月11日,204.19,203.88,206.19,203.71,159.01M,0.51%
2014年12月12日,200.89,202.64,203.82,200.85,202.33M,-1.62%
2014年12月15日,199.51,201.98,202.53,198.78,189.97M,-0.69%
2014年12月16日,197.91,198.58,202.4,197.86,259.54M,-0.80%
2014年12月17日,201.79,198.44,202.34,198.29,253.91M,1.96%
2014年12月18日,206.78,204.74,212.97,203.92,257.63M,2.47%
2014年12月19日,206.52,206.43,207.33,205.61,245.08M,-0.13%
2014年12月22日,207.47,206.75,207.47,206.46,148.32M,0.46%
2014年12月23日,207.75,208.17,208.23,207.4,122.17M,0.13%
2014年12月24日,207.77,208.02,208.34,207.72,42.96M,0.01%
2014年12月26日,208.44,208.31,208.85,208.25,57.33M,0.32%
2014年12月29日,208.72,208.22,208.97,208.14,79.64M,0.13%
2014年12月30日,207.6,208.21,208.37,207.51,73.54M,-0.54%
2014年12月31日,205.54,207.99,208.19,205.39,130.33M,-0.99%
2015年1月2日,205.43,206.38,206.88,204.18,121.47M,-0.05%
2015年1月5日,201.72,204.17,204.37,201.35,169.63M,-1.81%
2015年1月6日,199.82,202.09,202.72,198.85,209.15M,-0.94%
2015年1月7日,202.31,201.42,202.72,200.88,125.35M,1.25%
2015年1月8日,205.9,204.01,206.16,203.99,147.22M,1.77%
2015年1月9日,204.25,206.4,206.42,203.51,158.57M,-0.80%
2015年1月12日,202.65,204.41,204.6,201.92,144.40M,-0.78%
2015年1月13日,202.08,204.12,205.48,200.51,214.55M,-0.28%
2015年1月14日,200.86,199.65,201.1,198.57,192.99M,-0.60%
2015年1月15日,199.02,201.63,202.01,198.88,176.61M,-0.92%
2015年1月16日,201.63,198.77,201.82,198.55,211.88M,1.31%
2015年1月20日,202.06,202.4,202.72,200.17,130.99M,0.21%
2015年1月21日,203.08,201.5,203.66,200.94,122.94M,0.50%
2015年1月22日,206.1,203.99,206.26,202.33,174.36M,1.49%
2015年1月23日,204.97,205.79,206.1,204.81,117.52M,-0.55%
2015年1月26日,205.45,204.71,205.56,203.85,92.01M,0.23%
2015年1月27日,202.74,202.97,204.12,201.74,134.04M,-1.32%
2015年1月28日,200.14,204.17,204.29,199.91,168.51M,-1.28%
2015年1月29日,201.99,200.38,202.3,198.68,173.59M,0.92%
2015年1月30日,199.45,200.57,202.17,199.13,197.73M,-1.26%
2015年2月2日,201.92,200.05,202.03,197.86,163.11M,1.24%
2015年2月3日,204.84,203,204.85,202.55,124.21M,1.45%
2015年2月4日,204.06,203.92,205.38,203.51,134.31M,-0.38%
2015年2月5日,206.12,204.86,206.3,204.77,97.95M,1.01%
2015年2月6日,205.55,206.56,207.24,204.92,125.67M,-0.28%
2015年2月9日,204.63,204.77,205.64,204.13,87.22M,-0.45%
2015年2月10日,206.81,205.88,207.12,204.68,96.16M,1.07%
2015年2月11日,206.93,206.61,207.45,205.83,91.09M,0.06%
2015年2月12日,208.92,207.89,208.99,206.97,97.55M,0.96%
2015年2月13日,209.78,209.07,209.84,208.76,93.67M,0.41%
2015年2月17日,210.11,209.4,210.32,209.1,76.97M,0.16%
2015年2月18日,210.13,209.66,210.22,209.34,80.65M,0.01%
2015年2月19日,209.98,209.41,210.42,209.24,91.46M,-0.07%
2015年2月20日,211.24,209.48,211.33,208.73,140.90M,0.60%
2015年2月23日,211.21,210.94,211.21,210.48,74.41M,-0.01%
2015年2月24日,211.81,211.12,212.05,210.76,72.47M,0.28%
2015年2月25日,211.63,211.66,212.24,211.22,73.06M,-0.08%
2015年2月26日,211.38,211.52,211.71,210.65,72.70M,-0.12%
